q0 (),q1,q2,q3
1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.999999969157485902e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.853981625899930413e-05
9.999999740614460286e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.277654654159576980e-04
9.999999029321338107e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.406083554096636070e-04
9.999997474479341841e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.107067382281932787e-04
9.999994671420647796e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.032335016588565701e-03
9.999990195232930645e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.400340120327448661e-03
9.999983617961690774e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.810084246143710230e-03
9.999974520844430170e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.257393324616153735e-03
9.999962502727021141e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.738510641813767486e-03
9.999947185569767472e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.250055099962527363e-03
9.999928217756747229e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.788983653124355488e-03
9.999905275767402291e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.352557500223633302e-03
9.999878064646355869e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.938311659521036658e-03
9.999846317609701885e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.544027586235194920e-03
9.999809795048618666e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.167708528859772860e-03
9.999768283129983892e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.807557350188421334e-03
9.999721592145452975e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.461956566478514762e-03
9.999669554722658837e-01,0.000000000000000000e+00,0.000000000000000000e+00,8.129450382859875618e-03
9.999612023982568099e-01,0.000000000000000000e+00,0.000000000000000000e+00,8.808728525300530549e-03
9.999548871704030395e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.498611689424478130e-03
9.999479986538726273e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.019803844445897265e-02
9.999405272306028936e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.090605344677085878e-02
9.999324646386852367e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.162179683201359712e-02
9.999238038227670211e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.234449466801073973e-02
9.999145387960036713e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.307345036229403713e-02
9.999046645136585587e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.380803692882634839e-02
9.998941767581455142e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.454769002798933335e-02
9.998830720350858625e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.529190170251006411e-02
9.998713474798160972e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.604021473973472542e-02
9.998590007736861685e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.679221759761775554e-02
9.998460300694461678e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.754753983805864767e-02
9.998324339249970993e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.830584801685570390e-02
