ref_pos_x (m),ref_pos_y (m),ref_pos_z (m)
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.999983012676239014e-05,0.000000000000000000e+00,0.000000000000000000e+00
2.000001259148120880e-04,1.583248376846313477e-08,0.000000000000000000e+00
2.999999560415744781e-04,6.146728992462158203e-08,0.000000000000000000e+00
3.999997861683368683e-04,1.490116119384765625e-07,0.000000000000000000e+00
4.999996162950992584e-04,2.915039658546447754e-07,0.000000000000000000e+00
5.999994464218616486e-04,4.982575774192810059e-07,0.000000000000000000e+00
6.999992765486240387e-04,7.776543498039245605e-07,0.000000000000000000e+00
7.999986410140991211e-04,1.139938831329345703e-06,0.000000000000000000e+00
8.999975398182868958e-04,1.591630280017852783e-06,0.000000000000000000e+00
9.999959729611873627e-04,2.139247953891754150e-06,0.000000000000000000e+00
1.099993940442800522e-03,2.789311110973358154e-06,0.000000000000000000e+00
1.199990976601839066e-03,3.547407686710357666e-06,0.000000000000000000e+00
1.299987081438302994e-03,4.417262971401214600e-06,0.000000000000000000e+00
1.399982254952192307e-03,5.405396223068237305e-06,0.000000000000000000e+00
1.499976497143507004e-03,6.513670086860656738e-06,0.000000000000000000e+00
1.599968876689672470e-03,7.747672498226165771e-06,0.000000000000000000e+00
1.699959393590688705e-03,9.109266102313995361e-06,0.000000000000000000e+00
1.799948047846555710e-03,1.060124486684799194e-05,0.000000000000000000e+00
1.899934839457273483e-03,1.222733408212661743e-05,0.000000000000000000e+00
1.999919302761554718e-03,1.398846507072448730e-05,0.000000000000000000e+00
2.099901437759399414e-03,1.588836312294006348e-05,0.000000000000000000e+00
2.199880778789520264e-03,1.792795956134796143e-05,0.000000000000000000e+00
2.299856860190629959e-03,2.010911703109741211e-05,0.000000000000000000e+00
2.399829681962728500e-03,2.243369817733764648e-05,0.000000000000000000e+00
2.499799244105815887e-03,2.490170300006866455e-05,0.000000000000000000e+00
2.599765080958604813e-03,2.751685678958892822e-05,0.000000000000000000e+00
2.699727192521095276e-03,3.027822822332382202e-05,0.000000000000000000e+00
2.799684647470712662e-03,3.318674862384796143e-05,0.000000000000000000e+00
2.899637911468744278e-03,3.624521195888519287e-05,0.000000000000000000e+00
2.999586518853902817e-03,3.945268690586090088e-05,0.000000000000000000e+00
3.099530003964900970e-03,4.281103610992431641e-05,0.000000000000000000e+00
3.199468366801738739e-03,4.631932824850082397e-05,0.000000000000000000e+00
3.299401607364416122e-03,4.998035728931427002e-05,0.000000000000000000e+00
3.399328794330358505e-03,5.379319190979003906e-05,0.000000000000000000e+00
3.499250393360853195e-03,5.775783210992813110e-05,0.000000000000000000e+00
3.599165473133325577e-03,6.187614053487777710e-05,0.000000000000000000e+00
3.699074033647775650e-03,6.614811718463897705e-05,0.000000000000000000e+00
3.798976074904203415e-03,7.057376205921173096e-05,0.000000000000000000e+00
3.898871131241321564e-03,7.515307515859603882e-05,0.000000000000000000e+00
3.998759202659130096e-03,7.988698780536651611e-05,0.000000000000000000e+00
4.098639357835054398e-03,8.477549999952316284e-05,0.000000000000000000e+00
