ref_vel_x (m/s),ref_vel_y (m/s),ref_vel_z (m/s)
1.000000000000000021e-02,0.000000000000000000e+00,0.000000000000000000e+00
9.999999876629944717e-03,1.570796320335255272e-06,0.000000000000000000e+00
9.999998962457855994e-03,4.555309190161017487e-06,0.000000000000000000e+00
9.999996117285542968e-03,8.812166252815015172e-06,0.000000000000000000e+00
9.999989897918644746e-03,1.421413117475476713e-05,0.000000000000000000e+00
9.999978685688269697e-03,2.064668933001320787e-05,0.000000000000000000e+00
9.999960780950948452e-03,2.800677494653157972e-05,0.000000000000000000e+00
9.999934471900437383e-03,3.620162561713528051e-05,0.000000000000000000e+00
9.999898083507558627e-03,4.514775145937168416e-05,0.000000000000000000e+00
9.999850011189293647e-03,5.477000746291317362e-05,0.000000000000000000e+00
9.999788742836943772e-03,6.500075869963388778e-05,0.000000000000000000e+00
9.999712872057527763e-03,7.577912909899457716e-05,0.000000000000000000e+00
9.999621104864145349e-03,8.705032541913457981e-05,0.000000000000000000e+00
9.999512261559069873e-03,9.876502888086351477e-05,0.000000000000000000e+00
9.999385275162461784e-03,1.108788476858812375e-04,0.000000000000000000e+00
9.999239187430061099e-03,1.233518243197937174e-04,0.000000000000000000e+00
9.999073143258478680e-03,1.361479921520051476e-04,0.000000000000000000e+00
9.998886384083999213e-03,1.492349763949335072e-04,0.000000000000000000e+00
9.998678240729452424e-03,1.625836349802247305e-04,0.000000000000000000e+00
9.998448126035350617e-03,1.761677353551868404e-04,0.000000000000000000e+00
9.998195527519470466e-03,1.899636636034785343e-04,0.000000000000000000e+00
9.997920000237706106e-03,2.039501626546400253e-04,0.000000000000000000e+00
9.997621159964324711e-03,2.181080966713837407e-04,0.000000000000000000e+00
9.997298676767909023e-03,2.324202389953084077e-04,0.000000000000000000e+00
9.996952269027829449e-03,2.468710812941433074e-04,0.000000000000000000e+00
9.996581697912492598e-03,2.614466617897137721e-04,0.000000000000000000e+00
9.996186762323442873e-03,2.761344106582063699e-04,0.000000000000000000e+00
9.995767294296990443e-03,2.909230108853815239e-04,0.000000000000000000e+00
9.995323154846415606e-03,3.058022730312864737e-04,0.000000000000000000e+00
9.994854230222064567e-03,3.207630225136833598e-04,0.000000000000000000e+00
9.994360428563085069e-03,3.357969981585679745e-04,0.000000000000000000e+00
9.993841676912635155e-03,3.508967608913677715e-04,0.000000000000000000e+00
9.993297918567674992e-03,3.660556115550783925e-04,0.000000000000000000e+00
9.992729110734671974e-03,3.812675169429827443e-04,0.000000000000000000e+00
9.992135222463283117e-03,3.965270432248334145e-04,0.000000000000000000e+00
9.991516232831407565e-03,4.118292960274804186e-04,0.000000000000000000e+00
9.990872129356388048e-03,4.271698665048138943e-04,0.000000000000000000e+00
